cantor,code,titulo
Ângela Rô Rô,1420,TOLA FOI VOCÊ
Ângela Rô Rô,6635,SÓ NOS RESTA VIVER
Ângela Rô Rô,6891,"AMOR, MEU GRANDE AMOR"
Ângela Rô Rô - Paulinho Moska,16182,FELIZ DA VIDA
Ângela Valle E Paulo Sérgio Valle,7196,O CAFONA
Angélica,1493,BLUE JEANS
Angélica,1621,PRIMEIRO AMOR (IF)
Angélica,3429,MAGIA
Angélica,1820,VOU DE TÁXI
Angélica,3993,CIÚME
Angélica,4217,TERRA DO NUNCA
Angélica,4361,MEU HERÓI
Angelo Máximo,6561,A PRIMEIRA NAMORADA
Ângelo Máximo,6456,DOMINGO FELIZ (BEAUTIFUL SUNDAY)
Animals,4552,THE HOUSE OF THE RISING SUN
Animals,4623,DON'T LET ME BE MISUNDERSTOOD
Anísio Silva,7296,ALGUÉM ME DISSE
Anita Baker,9176,SWEET LOVE
Anita Ward,19808,RING MY BELL
Anitta,15192,SHOW DAS PODEROSAS
Anitta,15302,MENINA MÁ
Anitta,15307,NÃO PARA
Anitta,15320,ZEN
Anitta,15341,MEIGA E ABUSADA
Anitta,15603,"BLÁ, BLÁ, BLÁ"
Anitta,15707,NA BATIDA
Anitta,15748,RITMO PERFEITO
Anitta,15882,BANG
Anitta,15883,DEIXA ELE SOFRER
Anitta,15991,NO MEU TALENTO
Anitta,16254,PARADINHA
Anitta,16437,NÃO PERCO MEU TEMPO
Anitta,16637,PANTERA
Anitta - Caetano Veloso,16540,VOCÊ MENTIU
Anitta - Jhama,15923,ESSA MINA É LOUCA
Anitta - Lexa - Luisa Sonza - MC Rebecca,16673,COMBATCHY
Anitta - Ludmilla - Snoop Dogg - Papatinho,16618,ONDA DIFERENTE
Anitta - Maluma,16114,SIM OU NÃO
Anitta - Marília Mendonça,16649,SOME QUE ELE VEM ATRÁS
Anitta - MC Kevinho,16480,TERREMOTO
Anitta - Pabllo Vittar - Major Lazer,16250,SUA CARA
Anitta - Projota,15649,COBERTOR
Anitta - Vitin,16017,CRAVO E CANELA
Anjos de Resgate,7746,AMIGOS PELA FÉ
Ann Lewis,2258,GOODBYE MY LOVE
Ann Louise,5494,WOMAN
Anna Kendrick,19166,"CUPS (PITCH PERFECT'S ""WHEN I'M GONE"")"
Anne Duá,7156,INDECENTE
Anne Murray ,9238,YOU NEEDED ME 
Annie Lennox,4745,NO MORE I LOVE YOU
Annie Lennox & Al Green,9155,PUT A LITTLE LOVE IN YOUR HEART
Anri,18229,SUMMER CANDLES
Antônio C. E Jocafi,3549,VOCÊ ABUSOU
Antônio Carlos E Jocafi,6986,TEIMOSA
Antônio Carlos E Jocafi,6908,DESACATO
Antônio Fagundes,4427,CANTO ALEGRETENSE
Antonio Marcos,2934,SOU EU
Antônio Marcos,1376,CARA A CARA
Antônio Marcos,1397,QUEM DÁ MAIS
Antônio Marcos,1618,ORAÇÃO DE UM JOVEM TRISTE
Antônio Marcos,16580,VOCÊ PEDIU E EU JÁ VOU DAQUI
Antônio Marcos,4376,SONHOS DE UM PALHAÇO
Antônio Marcos,6351,SE EU PUDESSE CONVERSAR COM DEUS
Antônio Marcos,6939,MENINA DE TRANÇA
Antônio Marcos,6919,EU TENHO UM AMOR MELHOR QUE O SEU
Antony e Gabriel - Munhoz e Mariano,16290,TE AMANDO MAIS QUE PINGA
Anzen Chitai,5076,NATSUNO OWARINO HARMONY
Anzen Chitai,5094,TSUKINI NURETA FUTARI
Anzen Chitai,5105,ANATANI
Anzen Chitai,5107,AOI HITOMI NO ERIS
Anzen Chitai,5128,KANASHIMINI SAYONARA
Anzen Chitai,5186,WINE RED NO KOKORO
Anzen Chitai,5280,FRIEND
Anzen Chitai,18622,I LOVE YOU KARA HAJIMEYOH
Anzen Titai,2030,JIRETTAI
Aoe Mina,2218,KOHKOTSU NO BLUES
Aoe Mina,2248,AME NI SAKU SANA
Aoki Koiti,5385,KAKI NOKI ZAKA NO IE
Aoyama Thelma,18304,MAMORITAI MONO
